Estimate Status,Year,Common Name,Fishing Mode,Total Harvest (A+B1),PSE,Harvest (A+B1) Total Weight (lb),PSE,Harvest (A+B1) Total Weight (kg),PSE,Landings (no.) without Size Information,** Contribution of Imputed Data to Total Harvest Rate,** Contribution of Imputed Data to Total Harvest Rate,** Contribution of Imputed Data to Total Harvest Rate
FINAL,2020,PINK SNAPPER,PRIVATE/RENTAL BOAT,"16,486",35.7,"118,003",38.4,"53,526",38.4,"2,192",39%,24%,24%
PRELIMINARY,2021,PINK SNAPPER,PRIVATE/RENTAL BOAT,"12,997",41.5,"12,155",73,"5,513",73,"10,720",0%,0%,0%
FINAL,2003,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,"1,157",71.8,"1,786",71.8,810,71.8,0,0%,0%,0%
FINAL,2004,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,406,100,0,.,0,.,406,0%,0%,0%
FINAL,2005,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,"2,783",77.2,0,.,0,.,"2,783",0%,0%,0%
FINAL,2006,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,"5,331",70.5,"5,682",.,"2,578",.,"2,753",0%,0%,0%
FINAL,2007,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,"4,912",71.5,"9,756",75.3,"4,425",75.3,254,0%,0%,0%
FINAL,2008,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,"6,098",49.2,0,.,0,.,"6,098",0%,0%,0%
FINAL,2009,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,819,65.4,399,.,181,.,645,0%,0%,0%
FINAL,2010,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,"28,983",59.5,"26,667",67.6,"12,096",67.6,"4,837",0%,0%,0%
FINAL,2011,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,"8,517",45.3,"31,815",11.7,"14,431",11.7,"2,848",0%,0%,0%
FINAL,2012,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,"15,739",30.3,"11,452",.,"5,195",.,"6,292",0%,0%,0%
FINAL,2013,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,"7,598",39,"10,882",45.2,"4,936",45.2,"2,240",0%,0%,0%
FINAL,2014,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,"7,596",63.8,"8,352",.,"3,789",.,"3,387",0%,0%,0%
FINAL,2015,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,"5,650",40.4,"9,066",.,"4,112",.,"2,397",0%,0%,0%
FINAL,2016,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,"9,443",41.6,"10,782",48.4,"4,891",48.4,"2,413",0%,0%,0%
FINAL,2017,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,"4,347",56.5,636,.,288,.,"3,963",0%,0%,0%
FINAL,2018,VON SIEBOLDS SNAPPER,PRIVATE/RENTAL BOAT,"21,872",40.8,"42,101",41.5,"19,097",41.5,0,0%,0%,0%
