"Year","Biomass","B.Bmsy","ProbabilityStockOverfished","H","H.Hmsy","ProbabilityOverfishing","ProbabilityOverfishedOverfishing"
1967,18.0414624932117,1.31258296507522,0.0014,0.0364878170063083,0.67246189322495,0.0342,0.0014
1968,16.8717274279122,1.22297703312495,0.0033,0.0308210378756269,0.568024485471923,0.0175,0.0031
1969,15.9130335542876,1.15683256254104,0.0066,0.0306523621038371,0.56491583063463,0.0176,0.0059
1970,14.8737709641839,1.08182249728906,0.0113,0.0287132741768247,0.5291788958023,0.0153,0.0087
1971,14.1117811008695,1.03215010144243,0.0162,0.0255165518139927,0.470264053846891,0.0068,0.0104
1972,14.1906500541029,1.0283622968632,0.0172,0.0460357596451454,0.848428232406206,0.11,0.0169
1973,13.4267451010599,0.977191067710088,0.025,0.036680364371909,0.676010495926639,0.053,0.0232
1974,13.0835935409775,0.95054559566039,0.0298,0.0521702014789078,0.961484553881864,0.1568,0.0295
1975,12.378926489884,0.900074691702449,0.0442,0.0513800620360845,0.946922469623964,0.1624,0.0433
1976,11.4487772244405,0.834570006861774,0.069,0.0592057269990316,1.09114763595326,0.2123,0.0684
1977,11.5332146646975,0.839992679531415,0.0685,0.0622852898504201,1.14790325564385,0.2254,0.0683
1978,12.2645097800068,0.893771946589752,0.0469,0.0709037209058321,1.3067389147667,0.2507,0.0469
1979,12.3908652359767,0.898842273212875,0.0429,0.0634442961891874,1.16926347011468,0.2252,0.0428
1980,11.9953801305779,0.868941814470645,0.0526,0.0611111127725939,1.1262634480171,0.2186,0.0524
1981,11.7069844834003,0.845445723867403,0.0661,0.0813080137913368,1.49848758776196,0.2736,0.0661
1982,11.1289743483361,0.807538132668735,0.0801,0.0840316229009386,1.5486830636363,0.2792,0.0801
1983,10.9272372661946,0.789207278756255,0.0926,0.108732673300608,2.00391761805031,0.2968,0.0926
1984,10.6582741798236,0.769027441628948,0.1035,0.0871875202948483,1.60684551100785,0.2858,0.1035
1985,11.2013179212171,0.816082784814746,0.0751,0.110902172240945,2.04390097371438,0.2974,0.0751
1986,11.7912431936848,0.856570899059426,0.0576,0.104705865308811,1.92970449301329,0.2954,0.0576
1987,12.4883603626954,0.913751334254735,0.0403,0.122033925288302,2.24905656654811,0.2981,0.0403
1988,12.3879641010611,0.899953125664777,0.0445,0.128399454403455,2.36637177231705,0.2993,0.0445
1989,11.8683001128461,0.865844836388079,0.0527,0.1337233174569,2.4644893173478,0.2993,0.0527
1990,11.2033601016401,0.812299462048408,0.0765,0.108226312552467,1.9945855084508,0.2952,0.0765
1991,10.8610252662422,0.787556117405218,0.092,0.0770920901808357,1.42078910631213,0.2702,0.092
1992,10.9796787707867,0.800034197115273,0.0877,0.0882498499878831,1.62642399761569,0.2835,0.0877
1993,10.9424096426609,0.793884388946276,0.0872,0.0651617380656445,1.20091552031945,0.2376,0.0868
1994,11.2554277592309,0.820757349383028,0.0756,0.0789696059393561,1.45539128054788,0.2727,0.0756
1995,11.2669095987833,0.816853026390315,0.076,0.0860624678378541,1.58611105859934,0.2815,0.076
1996,11.1004594566217,0.806664966824514,0.0838,0.0685903429664828,1.26410390296069,0.2483,0.0838
1997,11.1717328515741,0.816357868045674,0.0784,0.0754708476441868,1.39090998733433,0.2664,0.0783
1998,11.1992695599052,0.813376023417529,0.0782,0.0693120497116654,1.27740478868193,0.2511,0.0781
1999,11.1616926303219,0.815637388578252,0.0787,0.0472723110975098,0.871217585098456,0.141,0.077
2000,11.4948165128757,0.834848406674731,0.0692,0.0654884907572975,1.20693749564363,0.236,0.0691
2001,11.2348833376759,0.817681347436217,0.0769,0.0506938414938146,0.934275586283564,0.164,0.0754
2002,10.8993330977449,0.790062858371698,0.0913,0.0398537545875609,0.734495331892296,0.0815,0.0834
2003,10.4180879404812,0.762860048842261,0.1139,0.0489269082196524,0.901711421248977,0.1515,0.1116
2004,10.0568385242665,0.736612990680469,0.13,0.0390627770033633,0.719917800885821,0.0771,0.1182
2005,10.1033248464047,0.730591314687263,0.1336,0.0463889962711115,0.854938300416371,0.1342,0.129
2006,10.0913479781137,0.727738952293901,0.1363,0.0353660816295503,0.65178857382572,0.055,0.1173
2007,10.1614649342995,0.739343522786702,0.1309,0.0413383226037911,0.761855571575661,0.1,0.1236
2008,10.2367842219164,0.746342625345277,0.1277,0.0390326452344611,0.719362479465559,0.086,0.1183
2009,10.2286040229268,0.743760476750015,0.1299,0.0518059211723665,0.95477095343383,0.1632,0.1282
2010,10.1042046809185,0.733712764867967,0.133,0.0429435757515024,0.791440009872658,0.1112,0.1272
2011,10.3314599232145,0.748385373953782,0.1264,0.0562031234930386,1.03581035891378,0.1852,0.1257
2012,10.3301666953378,0.749921797322817,0.1271,0.0430455453320173,0.793319285279913,0.1141,0.1214
2013,10.5674352607914,0.773528499759777,0.1191,0.041823469886232,0.770796721987229,0.1081,0.1158
2014,11.0690539117806,0.801779452653242,0.1055,0.0581167516424668,1.07107807602797,0.1911,0.1054
2015,11.4740952437411,0.830084864041746,0.0981,0.055099597569001,1.01547263544918,0.1737,0.0979
2016,11.4541271448933,0.833212751361966,0.101,0.0479060605129441,0.882897437901365,0.1446,0.1008
2017,11.4054794970159,0.832500079684813,0.1046,0.0449738604898808,0.8288576805083,0.1316,0.1034
2018,11.575131968668,0.834022388467587,0.1023,0.0423230122602043,0.780003170553044,0.1168,0.1006
